Lepilemur dorsalis
Lepilemur edwardsi
Lepilemur leucopus
Lepilemur microdon
Lepilemur mustelinus
Lepilemur ruficaudatus
Lepilemur septentrionalis
Arctocebus aureus
Arctocebus calabarensis
Loris lydekkerianus
Loris tardigradus
Nycticebus bengalensis
Nycticebus coucang
Nycticebus pygmaeus
Perodicticus potto
Pseudopotto martini
Cacajao ayresi
Cacajao calvus
Cacajao hosomi
Cacajao melanocephalus
Callicebus aureipalatii
Callicebus baptista
Callicebus barbarabrownae
Callicebus bernhardi
Callicebus brunneus
Callicebus caligatus
Callicebus caquetensis
Callicebus cinerascens
Callicebus coimbrai
Callicebus cupreus
Callicebus discolor
Callicebus donacophilus
Callicebus dubius
Callicebus hoffmannsi
Callicebus lucifer
Callicebus lugens
Callicebus medemi
Callicebus melanochir
Callicebus modestus
Callicebus moloch
Callicebus nigrifrons
Callicebus oenanthe
Callicebus olallae
Callicebus ornatus
Callicebus pallescens
Callicebus personatus
Callicebus purinus
Callicebus regulus
Callicebus stephennashi
Callicebus torquatus
Chiropotes albinasus
Chiropotes chiropotes
Chiropotes israelita
Chiropotes satanas
Chiropotes utahickae
Pithecia aequatorialis
Pithecia albicans
Pithecia irrorata
Pithecia monachus
Pithecia pithecia
Tarsius bancanus
Tarsius dentatus
Tarsius lariang
Tarsius pelengensis
Tarsius pumilus
Tarsius sangirensis
Tarsius syrichta
Tarsius tarsier
Tarsius tumpara
Elephas maximus
Loxodonta africana
Chinchilla chinchilla
Chinchilla lanigera
Cuniculus paca
Dasyprocta punctata
Sphiggurus mexicanus
Sphiggurus spinosus
Leporillus conditor
Pseudomys fieldi praeconis
Xeromys myoides
Zyzomys pedunculatus
Cynomys mexicanus
Marmota caudata
Marmota himalayana
Ratufa affinis
Ratufa bicolor
Ratufa indica
Ratufa macroura
Sciurus deppei
Ptilocercus lowii
Anathana ellioti
Dendrogale melanura
Dendrogale murina
Tupaia belangeri
Tupaia chrysogaster
Tupaia dorsalis
Tupaia glis
Tupaia gracilis
Tupaia javanica
Tupaia longipes
Tupaia minor
Tupaia moellendorffi
Tupaia montana
Tupaia nicobarica
Tupaia palawanensis
Tupaia picta
Tupaia splendidula
Tupaia tana
Urogale everetti
Dugong dugon
Trichechus inunguis
Trichechus manatus
Trichechus senegalensis
Anas aucklandica
Anas bernieri
Anas chlorotis
Anas formosa
Anas laysanensis
Anas nesiotis
Asarcornis scutulata
Branta canadensis leucopareia
Branta ruficollis
Branta sandvicensis
Cairina moschata
Coscoroba coscoroba
Cygnus melancoryphus
Dendrocygna arborea
Dendrocygna autumnalis
Dendrocygna bicolor
Oxyura leucocephala
Rhodonessa caryophyllacea
Sarkidiornis melanotos
Abeillia abeillei
Adelomyia melanogenys
Aglaeactis aliciae
Aglaeactis castelnaudii
Aglaeactis cupripennis
Aglaeactis pamela
Aglaiocercus coelestis
Aglaiocercus kingi
Amazilia alticola
Amazilia amabilis
Amazilia amazilia
Amazilia beryllina
Amazilia boucardi
Amazilia brevirostris
Amazilia candida
Amazilia castaneiventris
Amazilia chionogaster
Amazilia cupreicauda
Amazilia cyanifrons
Amazilia cyanocephala
Amazilia cyanura
Amazilia edward
Amazilia fimbriata
Amazilia franciae
Amazilia lactea
Amazilia leucogaster
Amazilia luciae
Amazilia rondoniae
Amazilia rosenbergi
Amazilia rutila
Amazilia saucerrottei
Amazilia tobaci
Amazilia tzacatl
Amazilia versicolor
Amazilia violiceps
Amazilia viridicauda
Amazilia viridifrons
Amazilia viridigaster
Amazilia yucatanensis
Androdon aequatorialis
Anopetia gounellei
Anthocephala floriceps
Anthracothorax dominicus
Anthracothorax mango
Anthracothorax nigricollis
Anthracothorax prevostii
Anthracothorax recurvirostris
Anthracothorax veraguensis
Anthracothorax viridigula
Anthracothorax viridis
Aphantochroa cirrochloris
Archilochus alexandri
Archilochus colubris
Atthis ellioti
Atthis heloisa
Augastes lumachella
Augastes scutatus
Basilinna leucotis
Basilinna xantusii
Boissonneaua flavescens
Boissonneaua jardini
Boissonneaua matthewsii
Calliphlox amethystina
Calliphlox bryantae
Calliphlox evelynae
Calliphlox mitchellii
Calothorax lucifer
Calothorax pulcher
Calypte anna
Calypte costae
Campylopterus curvipennis
Campylopterus cuvierii
Campylopterus duidae
Campylopterus ensipennis
Campylopterus falcatus
Campylopterus hemileucurus
Campylopterus hyperythrus
Campylopterus largipennis
Campylopterus phainopeplus
Campylopterus rufus
Campylopterus villaviscensio
Chaetocercus astreans
Chaetocercus berlepschi
Chaetocercus bombus
Chaetocercus heliodor
Chaetocercus jourdanii
Chaetocercus mulsanti
Chalcostigma herrani
Chalcostigma heteropogon
Chalcostigma olivaceum
Chalcostigma ruficeps
Chalcostigma stanleyi
Chalybura buffonii
Chalybura urochrysia
Chlorostilbon alice
Chlorostilbon assimilis
Chlorostilbon auriceps
Chlorostilbon canivetii
Chlorostilbon forficatus
Chlorostilbon lucidus
Chlorostilbon maugaeus
Chlorostilbon mellisugus
Chlorostilbon notatus
Chlorostilbon olivaresi
Chlorostilbon poortmani
Chlorostilbon ricordii
Chlorostilbon russatus
Chlorostilbon stenurus
Chlorostilbon swainsonii
Chrysolampis mosquitus
Chrysuronia oenone
Clytolaema rubricauda
Coeligena bonapartei
Coeligena coeligena
Coeligena helianthea
Coeligena iris
Coeligena lutetiae
Coeligena phalerata
Coeligena prunellei
Coeligena torquata
Coeligena violifer
Coeligena wilsoni
Colibri coruscans
Colibri delphinae
Colibri serrirostris
Colibri thalassinus
Cyanophaia bicolor
Cynanthus latirostris
Cynanthus sordidus
Damophila julie
Discosura conversii
Discosura langsdorffi
Discosura letitiae
Discosura longicaudus
Discosura popelairii
Doricha eliza
Doricha enicura
Doryfera johannae
